"Id Empenho";"Código Empenho";"Código Empenho Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Tipo Empenho";"Espécie Empenho";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Esfera Orçamentária";"Esfera Orçamentária";"Código Tipo Crédito";"Tipo Crédito";"Código Grupo Fonte Recurso";"Grupo Fonte Recurso";"Código Fonte Recurso";"Fonte Recurso";"Código Unidade Orçamentária";"Unidade Orçamentária";"Código Função";"Função";"Código SubFunção";"SubFunção";"Código Programa";"Programa";"Código Ação";"Ação";"Linguagem Cidadã";"Código Subtítulo (Localizador)";"Subtítulo (Localizador)";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo";"Autor Emenda";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de Licitação";"Inciso";"Amparo";"Referência de Dispensa ou Inexigibilidade";"Código Convênio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Conversão"
"152903709";"170177000012020NE800022";"2020NE800022";"01/01/2020";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"EMPENHO INICIAL DA EBC PULICACAO OFICIAL PARA O ANO DE 2020  PROC ORIGEM: 2017IN00003";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"11080727733201715";"Inexigível";"CP";"LEI8666";"ART25/CP LEI8666/93";"-1";"SEM INFORMACAO";"1,00";"1,00";"1,0000"
"147003649";"200346000012020NE800032";"2020NE800032";"01/01/2020";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"200346";"SUPERINTENDENCIA REGIONAL NO ESTADO DA BA";"00001";"TESOURO NACIONAL";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"CONSTITUICAO DA NOTA DE EMPENHO VISANDO ATENDER OFICIO(SEI) Nº01/20 (13450369)REF. A CONTRATACAO DE SERVICOS COMUNICACAO OFICIAL, CONF. INEXIGIBILIDADE Nº  02/16, UG:200346, E CONTRATO Nº 03/15-SR/PF/BA.  PROC ORIGEM: 2015IN00002";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"00";"RECURSOS ORDINARIOS";"30108";"DEPARTAMENTO DE POLICIA FEDERAL";"06";"Segurança pública";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"08255040572201455";"Inexigível";"CP";"LEI8666";"ART25/CP LEI8666/93";"-1";"SEM INFORMACAO";"4000,00";"4000,00";"1,0000"
"152303765";"152005000012020NE800005";"2020NE800005";"01/01/2020";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"26000";"Ministério da Educação";"26000";"Ministério da Educação - Unidades com vínculo";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"CONTRATO Nº 02/2018 - INEXIGIBILIDADE DE LICITACAO Nº 1/2018 - ATENDER DESPESACOM SERVICOS DE PUBLICIDADE LEGAL EM JORNAL DE GRANDE CIRCULACAO.  PROC ORIGEM: 2018IN00001";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"Educação";"368";"Educação básica";"5011";"EDUCACAO BASICA DE QUALIDADE";"20RI";"FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA";"";"20RI0033";"FUNCIONAMENTO DAS INSTITUICOES FEDERA - NO ESTADO DO RIO DE";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"23121000061201833";"Inexigível";"CP";"LEI8666";"ART25/CP LEI8666/93";"-1";"SEM INFORMACAO";"500,00";"500,00";"1,0000"
"157203622";"170184000012020NE800007";"2020NE800007";"01/01/2020";"NE";"Nota de Empenho";"Global";"ORIGINAL";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170184";"DELEGACIA DA RFB EM NOVO HAMBURGO";"00001";"TESOURO NACIONAL";"78126950000316";"MICROSENS S/A";"EMPENHO PARA ATENDER DESPESAS COM A PRESTACAO DE SERVICOS CONTINUADOS DE LOCA-CAO DE FOTOCOPIADORAS MULTIFUNCIONAIS PARA A DRF NHO E ARFS A ELA VINCULADAS, NO ANO DE 2020.  PROC ORIGEM: 2016PR00002";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"11065720980201606";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"0,50";"0,50";"1,0000"
"147804105";"170178000012020NE800003";"2020NE800003";"01/01/2020";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170178";"DELEGACIA DA RFB EM CAXIAS DO SUL";"00001";"TESOURO NACIONAL";"10471999000100";"C.S.COMERCIO DE PECAS PARA VEICULOS LTDA";"- VALOR QUE SE EMPENHA PARA ATENDER AO PAGTO DE DESPESAS REFERENTE A MANUTUNCAO DOS VEICULOS DA DRF/CAXIAS DO SUL,VEICULOS APREENDIDOS E VEICULOS DA RFB QUEESTIVEREM EM TRANSITO NESTA DELEGACIA NO EXERCICIO DE 2020.  PROC ORIGEM: 2018";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"11020723318201888";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"10,00";"10,00";"1,0000"
"145004319";"170178000012020NE800002";"2020NE800002";"01/01/2020";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170178";"DELEGACIA DA RFB EM CAXIAS DO SUL";"00001";"TESOURO NACIONAL";"10471999000100";"C.S.COMERCIO DE PECAS PARA VEICULOS LTDA";"-VALOR QUE SE EMPENHA PARA ATENDER AO PAGAMENTO DE DESPESAS REFERENTE A AQUISICAO DE PECAS UTILIZADAS NO CONSERTO DOS VEICULOS DA DRF/CAXIAS DO SUL, NO EXERCICIO DE 2020.  PROC ORIGEM: 2018PR00003";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"11020723318201888";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"2,00";"2,00";"1,0000"
"150903734";"170179000012020NE800021";"2020NE800021";"01/01/2020";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170179";"DELEGACIA DA RFB EM PASSO FUNDO";"00001";"TESOURO NACIONAL";"11945317000117";"ATLANTIS - SERVICOS TERCEIRIZADOS LTDA";"VALOR INICIAL QUE SE EMPNHARA PARA PAGAMENTO DE DESPESAS COM LIMPEZA E MANUTENCAO NAS ARFS, CARAZINHO ERECHI, LAGOA VERMELHA E DRFB/PFO, NO EXERCICOO DE 2020.  PROC ORIGEM: 2018PR00002";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"11030724623201878";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"1,00";"1,00";"1,0000"
"156003623";"200346000012020NE800023";"2020NE800023";"01/01/2020";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"200346";"SUPERINTENDENCIA REGIONAL NO ESTADO DA BA";"00001";"TESOURO NACIONAL";"06856347000117";"SUPREMA EMPREENDIMENTOS RURAIS E PARTICIPACOES LTDA";"CONSTITUICAO DA NOTA DE EMPENHO VISANDO ATENDER OFICIO(SEI) Nº01/20 (13450369)REF.A LOCACAO DE IMOVEL PARA FUNCIONAMENTO DA PF/PSO/NA, CONF.DISPENSA Nº02/11UG: 200346, E CONTRATO Nº11/11.  PROC ORIGEM: 2011DI00002";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"00";"RECURSOS ORDINARIOS";"30108";"DEPARTAMENTO DE POLICIA FEDERAL";"06";"Segurança pública";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"08711002667201012";"Dispensa de Licitação";"10";"LEI8666";"ART24/10 LEI8666/93";"-1";"SEM INFORMACAO";"25000,00";"25000,00";"1,0000"
"144003787";"152005000012020NE800030";"2020NE800030";"01/01/2020";"NE";"Nota de Empenho";"Global";"ORIGINAL";"26000";"Ministério da Educação";"26000";"Ministério da Educação - Unidades com vínculo";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"24936973000103";"LINK DATA INFORMATICA E SERVICOS S/A";"CONTRATO Nº 52/2016 -PRESTACAO DE SERVICOS DE MANUTENCAO DO SOFTWARE DE GESTAODO ASI - INEXIGIBILIDADE DE LICITACAO Nº 03/2016.  PROC ORIGEM: 2016IN00003";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"Educação";"368";"Educação básica";"5011";"EDUCACAO BASICA DE QUALIDADE";"20RI";"FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA";"";"20RI0033";"FUNCIONAMENTO DAS INSTITUICOES FEDERA - NO ESTADO DO RIO DE";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"40";"Serviços de Tecnologia da Informação e Comuni";"23121000852201600";"Inexigível";"CP";"LEI8666";"ART25/CP LEI8666/93";"-1";"SEM INFORMACAO";"31000,00";"31000,00";"1,0000"
"154403560";"170182000012020NE800018";"2020NE800018";"01/01/2020";"NE";"Nota de Empenho";"Global";"ORIGINAL";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170182";"ALFANDEGA DA RFB PORTO DE RIO GRANDE";"00001";"TESOURO NACIONAL";"10533299000101";"ARSENAL - SEGURANCA PRIVADA LTDA";"EMPENHO PARA PAGAMENTO DE DESPESAS COM CONTRATACAO DE SERVICO CONTINUADO DE V IGILANCIA E SEGURANCA PARA AS DEPENDENCIAS DA IRF/CHU. EXERCICIO 2020.  PROC ORIGEM: 2019PR00002";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"-1";"Sem informação";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"11050720178201910";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"1,00";"1,00";"1,0000"
