"Código Liquidação";"Código Liquidação Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo"
"135276222112020NS000007";"2020NS000007";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22211";"Companhia Nacional de Abastecimento";"135276";"UA/HERVAL D'OESTE";"22211";"COMPANHIA NACIONAL DE ABASTECIMENTO";"00639019000182";"SIND.DOS TRAB.NA MOV.DE MERC.EM GERAL DE HERVAL D'OESTE";"RECIBO 13/2019, DE 31/12/2019, SERVICOS DE DIARIAS DE BRACAGEM, MONTAGEM DE CESTAS BASICAS, CARREGAMENTOS E DIVERSOS SERVICOS NA UA HERVAL D OESTE, PER.: DEZEMBRO/2019 - CONF GP/UA-HO/17/2020";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0001";"DISTRIBUICAO DE ALIMENTOS A GRUPOS POPULACIONAIS ESPECIFICOS - BRASIL SEM MISERIA";"24";"BRASIL SEM MISERIA"
"390079392522020NS000049";"2020NS000049";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"39000";"Ministério da Infraestrutura";"39252";"Departamento Nacional de Infraestrutura de Tr";"390079";"ADMINISTRAÇÃO DA HIDROVIA DO PARAGUAI";"39252";"DEPTO. NAC. DE INFRA­ESTRUTURA DE TRANSPORTES";"02550302000169";"CARUSO JR. ESTUDOS AMBIENTAIS & ENGENHARIA LTDA";"LIQUIDACAO DA NOTA FISCAL N.799 EMITIDA PELA EMPRESA CARUSO JR. ESTUDOS AMBIENTAIS E ENGENHARIA LTDA, REFERENTE A 8* MEDICAO DO MONITORAMENTO AMBIENTAL, PERIODO DE 01/12/2019 A 31/12/2019, DO CONTRATO N. 553/2014, PROC. 50016.000025/2020-64.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0000";"MANUTENCAO DAS HIDROVIAS";"00";"NAO ATRIBUIDO"
"682010682012020NS000008";"2020NS000008";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"39000";"Ministério da Infraestrutura";"68201";"Agência Nacional de Transportes Aquaviários";"682010";"AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS";"68201";"AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS";"13831145000186";"EDERSON F. DE SOUZA";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL DE CONSUMO - IMEDIATO ENTRADA 1981/1 UG DE ORIGEM 682010.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0002";"MANUTENCAO ADMINISTRATIVA";"00";"NAO ATRIBUIDO"
"120629000012020NS000580";"2020NS000580";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"12794208000109";"JL MUCK COMERCIO DE ALIMENTOS LTDA";"|| APL: GAP-CO - NF 12433 DE 18/12/2019  UG. 120629 GAP-CO PROCESSO 67278.005996/2018-06.  NF DO DIA 18/12/2019, A ALTERACAO SE DA DEVIDO AO FECHAMENTO DO SISTEMA, ONDE O MESMO NAO PERMITE LANCAR COM A DATA RETROATIVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"512035572022020NS000018";"2020NS000018";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"25000";"Ministério da Economia";"37202";"Instituto Nacional do Seguro Social";"512035";"GERÊNCIA EXECUTIVA PORTO VELHO";"57202";"INSTITUTO NACIONAL DO SEGURO SOCIAL";"09477789000140";"MULTITEC ELEVADORES LTDA";"ELEVADOR DEZ/19 AP 4983/20?NF 5731";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0000";"FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS DA PREVIDENCIA SOCIAL - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"120629000012020NS000581";"2020NS000581";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"05786780000160";"MARIA ALBERTINA AVILA SOARES - ME";"APL: GAP-CO - NF 5101 DE 15/12/2019  UG. 120629 GAP-CO PROCESSO 67278.005996/2018-06 .  NF DO DIA 15/12/2019, A ALTERACAO SE DA DEVIDO AO FECHAMENTO DO SISTEMA, ONDE O MESMO NAO PERMITE LANCAR COM A DATA RETROATIVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0004";"APOIO AS ACOES DE SEGURANCA ALIMENTAR PARA PARTICIPANTES DO PROGRAMA FORCAS NO ESPORTE";"24";"BRASIL SEM MISERIA"
"323031322052020NS000018";"2020NS000018";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"32000";"Ministério de Minas e Energia";"32205";"Agência Nacional do Petróleo, Gás Natural e B";"323031";"ESCRITORIO CENTRAL DA ANP";"32205";"AGENCIA NACIONAL DO PETROLEO";"76535764000143";"OI S.A. - EM RECUPERACAO JUDICIAL";"APROPRIACAO DA LIQUIDACAO DA DESPESA CONFORME NF 2001003622391 DE 01/01/20 R$ 98,21 - CONTRATO 9.031/19 - PRESTACAO DE STFC PARA ATENDER AO EDF, REFERENTE AO PERIODO DE 26/11/19 A 25/12/19 - DOC SEI 0577421.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0003";"OUTRAS DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO"
"155001152752020NS001020";"2020NS001020";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"***.115.480-**";"FELIPE DALBOSCO SILVEIRA";"APROP DA PROPOSTA DE CONCESSAO SF DE FELIPE DALBOSCO SILVEIRA, PERIODO DE 01/01 A 24/01/2020 SENDO R$1.400,00 P/DESP DE CONSUMO E R$400,00 P/DESP.SERVICO.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000136";"2020NS000136";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"11502318000197";"CARVALHO MIRANDA EMPREENDIMENTOS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 391/1 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"154055152542020NS000824";"2020NS000824";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26268";"Fundação Universidade Federal de Rondônia";"154055";"FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA";"15254";"FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA";"04900474000140";"ARAUNA SERVICOS ESPECIALIZADOS LTDA";"999102044.000009/2018-53 LIQUIDACAO DA NF-1063 REF. A REPACTUACAO DE PRESTACAO DE SERVICOS DE LIMPEZA E CONSERVACAO, UNIR CAMPUS CACOAL, MES DE DEZEMBRO DE 2019, CONFORME MEMORANDO Nº 18/2020/CADM-CAC/CCAC/UNIR, CONTRATO Nº 28/2017, COM RETENCAO DE INSS, IMPOSTO DA IN SRF 1234/2012 E ISS RETIDO PARA PREFEITURA DE CACOAL.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"0000";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
