"Código Pagamento";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Pago (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"155001152752020NS000966";"155001152752020NE504494";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS000966";"155001152752020NE504487";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"4000,00";"0,00";"0,00";"0,00"
"155001152752020NS000996";"155001152752020NE504482";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"500,00";"0,00";"0,00";"0,00"
"155001152752020NS001014";"155001152752020NE504465";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"350,00";"0,00";"0,00";"0,00"
"155001152752020NS001014";"155001152752020NE504464";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"400,00";"0,00";"0,00";"0,00"
"155001152752020NS001015";"155001152752020NE504510";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"100,00";"0,00";"0,00";"0,00"
"155001152752020NS001015";"155001152752020NE504505";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"2900,00";"0,00";"0,00";"0,00"
"155001152752020NS001016";"155001152752020NE504485";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"300,00";"0,00";"0,00";"0,00"
"155001152752020NS001017";"155001152752020NE504486";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"500,00";"0,00";"0,00";"0,00"
"155001152752020NS001018";"155001152752020NE504503";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"700,00";"0,00";"0,00";"0,00"
"155001152752020NS001020";"155001152752020NE504511";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"400,00";"0,00";"0,00";"0,00"
"155001152752020NS001020";"155001152752020NE504506";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1400,00";"0,00";"0,00";"0,00"
"155001152752020NS001021";"155001152752020NE504507";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"2700,00";"0,00";"0,00";"0,00"
"155001152752020NS001026";"155001152752020NE504508";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"2500,00";"0,00";"0,00";"0,00"
"155001152752020NS001028";"155001152752020NE504509";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"3500,00";"0,00";"0,00";"0,00"
"155001152752020NS001029";"155001152752020NE504462";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1800,00";"0,00";"0,00";"0,00"
"155001152752020NS001042";"155001152752020NE504495";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"2000,00";"0,00";"0,00";"0,00"
"155001152752020NS001042";"155001152752020NE504488";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001042";"155001152752020NE504501";"33903396";"PASSAGENS E DESP.C/LOCOMOCAO-PAGTO ANTECIPADO";"200,00";"0,00";"0,00";"0,00"
"155001152752020NS001043";"155001152752020NE504496";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001043";"155001152752020NE504489";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001083";"155001152752020NE504497";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"2000,00";"0,00";"0,00";"0,00"
"155001152752020NS001083";"155001152752020NE504490";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001083";"155001152752020NE504502";"33903396";"PASSAGENS E DESP.C/LOCOMOCAO-PAGTO ANTECIPADO";"200,00";"0,00";"0,00";"0,00"
"155001152752020NS001084";"155001152752020NE504498";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001084";"155001152752020NE504491";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001085";"155001152752020NE504499";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"200,00";"0,00";"0,00";"0,00"
"155001152752020NS001085";"155001152752020NE504492";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"800,00";"0,00";"0,00";"0,00"
"155001152752020NS001086";"155001152752020NE504493";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"500,00";"0,00";"0,00";"0,00"
"155001152752020NS011128";"155001152752020NE504494";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"-18,00";"0,00";"0,00";"0,00"
"155001152752020NS011128";"155001152752020NE504494";"33903918";"SERVICOS DE ESTACIONAMENTO DE VEICULOS";"18,00";"0,00";"0,00";"0,00"
